Rating,MRP,Brand,Operating_System,RAM,Display_inchs,RAM_Type,Processor,Disc Size,Disc Type
4.3,63490,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.2,38990,ASUS,Windows 11,8 GB,14,DDR4,AMD,512GB,SSD
4.3,67990,HP,Windows 11,8 GB,16.1,DDR4,Intel,512GB,SSD
4.2,39790,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.8,241990,APPLE,Mac,16 GB,16.2,Unified,Apple,1TB,SSD
4.6,104990,APPLE,Mac,8 GB,13.3,DDR4,Apple,512GB,SSD
4.1,42190,DELL,Windows 11,8 GB,14,DDR4,AMD,512GB,SSD
4.2,39990,ASUS,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.5,99990,ASUS,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.3,309490,APPLE,Mac,32 GB,16.2,Unified,Apple,1TB,SSD
4.4,64990,ASUS,Windows 11,16 GB,15.6,DDR4,Intel,1TB,HDD
4.5,85990,ASUS,Windows 10,16 GB,17.3,DDR4,AMD,512GB,SSD
4.8,222990,APPLE,Mac,16 GB,14.2,Unified,Apple,1TB,SSD
4.3,15990,Ultimus,Mac,4 GB,14.1,LPDDR4,Intel,128GB,SSD
4.3,45900,DELL,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,79990,ASUS,Windows 11,16 GB,13.3,LPDDR4X,Intel,512GB,SSD
4.4,56990,ASUS,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.2,34990,DELL,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
3.4,43580,DELL,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
5.0,74990,Lenovo,Windows 10,16 GB,13.3,DDR4,AMD,512GB,SSD
4.3,37490,Lenovo,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.2,20990,Infinix,Windows 11,4 GB,14,LPDDR4X,Intel,128GB,SSD
4.6,109990,MSI,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.7,71990,ASUS,Windows 11,16 GB,13.3,LPDDR4,Intel,512GB,SSD
4.3,32990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,512GB,SSD
4.5,43990,MSI,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
3.9,25990,acer,Windows 11,8 GB,14,DDR4,AMD,256GB,SSD
4.4,122990,ASUS,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.3,68990,acer,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.3,59990,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,39990,acer,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.0,37990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
